nome,data_hora_inicio,data_hora_fim,tempo_execucao,assunto_selecionado,acertos,total,percentual
nmaganha,12/09/2026 17:18:19,12/09/2026 17:19:08,00:49,TODAS,7,10,70.0
nmaganha,12/09/2026 17:46:07,12/09/2026 17:46:53,00:45,TODAS,6,10,60.0
nmaganha,12/09/2026 17:55:05,12/09/2026 17:55:43,00:38,Comunicados,4,10,40.0
nmaganha,12/09/2026 17:59:40,12/09/2026 18:00:23,00:42,TODAS,6,10,60.0
nmaganha,12/09/2026 18:01:56,12/09/2026 18:02:32,00:35,TODAS,5,10,50.0
nmaganha,12/09/2026 18:04:38,12/09/2026 18:05:19,00:40,TODAS,5,10,50.0
nmaganha,12/09/2026 18:13:08,12/09/2026 18:13:44,00:36,TODAS,8,10,80.0
nmaganha,12/09/2026 18:25:04,12/09/2026 18:25:37,00:00:32,TODAS,3,10,30.0
